"id","type","type_code","creditor_country","creditor_bank_account","debitor_account","mode","show_deal_id","transaction_charges","vat","before_cutoff_message","after_cutoff_message","cooling_period","country_code","is_approved","is_rejected","document_mandatory_amount","deal_id_mandatory_amount","settlement_working_days","settlement_start_time","settlement_end_time","cutoff_working_days","cutoff_start_time","cutoff_end_time","created_at","last_modified_at","created_by","last_modified_by","admin_remarks","document_mandatory_amount_currency","deal_id_mandatory_amount_currency","is_active","transaction_limit_present","per_transaction_limit","per_day_limit","per_month_limit","limit_during_cooling_period","limit_after_cooling_period","cooling_period_time","limit_currency","document_mandatory_present","show_deal_id_for_cross_currency","show_charges","biller_gateway_code","has_usd_limit","usd_per_transaction_limit","usd_per_day_limit","usd_per_month_limit","saturday_cutoff_start_time","saturday_cutoff_end_time"
6,International Transfer-SWIFT,INSW,Botswana,"Any account (FCB, non- FCB",Current A/c,SWIFT,true,N,N,,,NA,BW,true,false,,1,,,,,,,2026-07-08 10:29:16.773,,SYSTEM,,,,USD,true,true,500000,500000,,,,NA,BWP,false,true,false,,false,,,,,
7,International Transfer- SADC,INSAD,Botswana,"Any account (FCB, non- FCB",Current A/c,SADCRTGS,true,N,N,,,NA,BW,true,false,,1,,,,,,,2026-07-08 10:29:16.773,,SYSTEM,,,,USD,true,true,500000,500000,,,,NA,BWP,false,true,false,,false,,,,,
3,Other Bank -EFT,OBE,,,,EFT,false,N,N,"","",NA,BW,true,false,0,1,"",,,"",,,2026-01-30 16:42:10.204,2026-05-06 09:42:47.355,MUCSHINDE,MUCSHINDE,,,,true,true,500000,7000000,,,,"",BWP,false,true,false,,false,,,,,
5,Wallet Payment,IWL,Botswana,Mobile wallet linked to FCB/Other Acc number,Current/Savings A/c,Wallet,false,N,N,,,NA,BW,true,false,,1,,,,,,,2026-07-08 10:29:16.773,,SYSTEM,,,,,true,false,,,,,,,,false,true,false,,false,,,,,
1,Own/self acc transfer,OWN,,,,,false,N,N,"","",NA,BW,true,false,,1,"",,,"",,,2026-01-30 16:42:10.204,2026-07-08 17:11:22.492,Amol Bhosale,Sushil Shinde,,,,true,true,500000,500000,,,,NA,BWP,false,false,false,,false,,,,,
2,Within Bank Transfer,WIB,,,,,false,N,N,"","",NA,BW,true,false,,1,"",,,"",,,2026-01-30 16:42:10.204,2026-07-08 17:35:15.029,Amol Bhosale,Sushil Shinde,,,,true,true,500000,499999,,,,NA,BWP,false,false,true,,false,,,,,
8,Bill Payment,BILL,,,,,false,N,N,"","",NA,BW,true,false,0,1,"",,,"",,,2026-04-06 05:46:26.456,2026-04-06 05:46:26.456,MUCSHINDE,MUCSHINDE,,,,true,false,,,,,,,,false,true,false,,false,,,,,
4,Other Bank-RTGS,OBR,,,,RTGS,false,N,N,"","",,BW,true,false,,1,"",,,"",11:00:00,13:00:00,2026-01-30 16:42:10.204,2026-07-17 12:07:59.021,Amol Bhosale,Sushil Shinde,,,,true,true,2500,3500,,,,,BWP,false,false,false,,false,,,,,
